$ICAO,$Registration,sigh,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link,#ImageLink,#ImageLink2,#ImageLink3
C82398,ZK-IFA,True,Private,Bell Helicopter Co 206L-3,B06,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C8246A,ZK-IFI,True,Private,Eurocopter As 350 B2,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C810E9,ZK-IFO,True,Private,Kawasaki Heavy Industries Ltd. Bk117 B-2,BK17,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/91462_1652931606.jpg,,
C81ADC,ZK-IFS,True,Private,Hughes Helicopters 369E,H500,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/12240_1642903541.jpg,,
C821A6,ZK-IFX,True,Private,Eurocopter As 350 Ba,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/31227_1583001696.jpg,https://cdn.jetphotos.com/full/5/38378_1496671940.jpg,
C8247C,ZK-IGF,True,Private,Eurocopter Ec130B4,EC30,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/70533_1647924767.jpg,https://cdn.jetphotos.com/full/6/80387_1603259919.jpg,
C82846,ZK-IGI,True,Private,Airbus Helicopters Ec145,EC45,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/56718_1632890043.jpg,https://cdn.jetphotos.com/full/6/77053_1612808318.jpg,https://cdn.jetphotos.com/full/6/64935_1604202286.jpg
C823BB,ZK-IGT,True,Private,Bell Helicopter Co 206B (Iii),B06,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/2/39241_1310348724.jpg,https://cdn.jetphotos.com/full/2/55076_1214379478.jpg,
C81B25,ZK-IHH,True,Private,Mcdonnell Douglas Helicopter Company 369E,H500,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C81E9F,ZK-IHL,True,Private,Eurocopter As 350 B3,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/80166_1550891467.jpg,,
C821CB,ZK-IIC,True,Private,Eurocopter As 350 B2,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C81DDF,ZK-IIE,True,Private,Mcdonnell Douglas Helicopter Company 369E,H500,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C82504,ZK-IIV,True,Private,Bell Helicopter Co 206L-4,B06,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/30694_1662717331.jpg,https://cdn.jetphotos.com/full/5/81750_1571538008.jpg,
C823DE,ZK-IJD,True,Private,Mcdonnell Douglas Helicopter Systems 600N,MD60,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/2/81068_1126149099.jpg,,
C80C89,ZK-IJG,True,Private,Eurocopter As 350 Ba,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/91906_1616213712.jpg,https://cdn.jetphotos.com/full/5/19947_1597385696.jpg,
C8201A,ZK-IJH,True,Private,Bell Helicopter Co 206L-3,B06,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C82438,ZK-IKA,True,Private,Eurocopter As 350 B3,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/61525_1623197124.jpg,https://cdn.jetphotos.com/full/6/39222_1593746352.jpg,https://cdn.jetphotos.com/full/6/24539_1583582323.jpg
C81C92,ZK-IKJ,True,Private,Eurocopter As 350 B3,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/2/35486_1310337097.jpg,,
C81B4B,ZK-IKL,True,Private,Hughes Helicopters 369D,H500,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/3/77621_1349049135.jpg,,
C821D1,ZK-ILM,True,Private,Bell Helicopter Co 206L-3,B06,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C827AA,ZK-ILN,True,Private,Airbus Helicopters As 350 B2,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C827A5,ZK-ILO,True,Private,Airbus Helicopters As 350 B3E,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/35420_1635735041.jpg,https://cdn.jetphotos.com/full/5/19119_1618140779.jpg,https://cdn.jetphotos.com/full/6/88199_1580026639.jpg
C8280E,ZK-ILV,True,Private,Bell Helicopter Co Uh-1H,UH1,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C824E6,ZK-ILW,True,Private,Eurocopter As 350 Ba,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/84249_1632638831.jpg,https://cdn.jetphotos.com/full/6/68338_1549758852.jpg,
C81C60,ZK-IME,True,Private,Kawasaki Heavy Industries Bk117 B-2,BK17,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/94134_1547369236.jpg,https://cdn.jetphotos.com/full/6/13222_1534223602.jpg,
C82172,ZK-IMJ,True,Private,Airbus Helicopters As 350 B2,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/64298_1570668932.jpg,,
C822EE,ZK-IMK,True,Private,Eurocopter As 350 Ba,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/37812_1617257152.jpg,https://cdn.jetphotos.com/full/5/78335_1610581518.jpg,https://cdn.jetphotos.com/full/6/87873_1610351326.jpg
C8251B,ZK-IML,True,Private,Mcdonnell Douglas Helicopter Company 520N,MD52,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/69651_1562828544.jpg,,
C812DF,ZK-IMN,True,Private,Kawasaki Heavy Industries Ltd. Bk117 B2,BK17,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/20534_1651283709.jpg,https://cdn.jetphotos.com/full/6/65811_1643075130.jpg,https://cdn.jetphotos.com/full/6/76491_1628644385.jpg
C81B57,ZK-IMT,True,Private,Hughes Helicopters 369D,H500,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C8229F,ZK-IMW,True,Private,Airbus Helicopters Ec 130 T2,EC30,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/42401_1607032875.jpg,,
C824A1,ZK-IMY,True,Private,Eurocopter As 350 B3,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C821EF,ZK-INH,True,Private,Bell Helicopter Co 206L-1,B06,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
